Sesotho	English
bohola	bark (v.)
bohola	wail (v.)
bohole	distance
boholo	age
boholo	size
boholoholo	ancient times
boholoholo	long ago
boholoholo	of old
boholoholo	old customs
boholoholo	olden times
Bohriamo	Bohrium (Bh) [Element]
bohwebi	commerce
bohwelea	stammer (v.)
bohwelea	stutter (v.)
boi	timid
boikaketsi	pretence
boikarabelo	responsibility
boikgathatso	effort
boikgethelo	choice
boikgohomoso	pride
boikokobetso	humbleness
boikokobetso	humility
boikokobetso	obedience
boikutlo, maikutlo	consciousness
boikutlo, maikutlo	feeling
boikutlo, maikutlo	opinion
boikutlo, maikutlo	thought (n.)
boima	difficult
boima	hard
boima	heavy (weight)
boima	mass
boimana	pregnancy
boimo ba athomo	atomic mass
boinyatso	regret
boiphetetso	vengeance
boiphihlelo	experience
boipiletso	appeal
boipolao	suicide
boipolelo	confession
boipuso	democracy
boipuso	independent
boithabiso	amusement
boithabiso	pleasure
boithutelo	qualification
boitlamo	contract (n.)
boitsebiso	identity
boitshepo	selfconfidence
boitshireletso	selfdefence
boitshireletso ba mmele	immune system
boitshwaro	behaviour
boitshwaro	conduct (n.)
boitaolo	selfcontrol
boitshwaro	temper
boka []3	thank (v.)
boka	glue
boka	praise (v.)
bokaakang	quantity
bokahare	interior
bokaharehare	core
bokamorao	background
bokamorao ba sekepe	stern of a ship
bokamoso	future
bokana	gather (v.)
bokanela	surround (v.)
Bokang (lebitso)	Praise or rejoice (female name)
Bokang (lebitso)	Praise or rejoice (male name)
bokantle	exterior
bokantle	outside
bokanya	convene (v.)
bokapele ba sekepe	bow of a ship
bokate	jeans
bokella	collect (v.)
bokella	compile (v.)
bokella	gather (v.)
bokella	heap (v.)
bokella	pile (v.)
bokella dintho	get things together (v.)
bokeresete	christian (adj.)
bokgabane	excellence
bokgabane	honour
bokgabane	integrity
bokgabane	virtue
bokgatjhane	pregnancy
bokgeleke	eloquence
bokgeleke	rhetoric
bokgoba	addiction
bokgoba	slavery
bokgoba ba dithethefatsi	drug addiction
bokgoni	ability
bokgoni	efficiency
bokgoni	skill
bokgoni ba puo 	language skills 
bokgoni bo maemong a hodimo 	high skills 
boko	brain
bokreste	christian (adj.)
bokudubete, makudubete	tadpole
bokunutu	secrecy
bokwala	cowardice
bokwenehi	disloyalty
bola	demonstrative pronoun those (yonder)
bola	decay
bola	decompose
bola	rot
boladu	pus
bolala	state of being unused
bolaodi	management
bolauwa	killed (being ...) (v.)
bolaya	kill (v.)
bolaya	murder (v.)
bolaya	slaughter (v.)
bolaya ka motlakase	electrocute (v.)
boleisara, maboleisara	blazer (<Eng)
bolekane	friendship
bolekano, dibolekano	volcano (<Eng)
bolela	declare (v.)
bolela	say (v.)
bolela	state (v.)
bolela	tell (v.)
bolelele	length
bolella	inform (v.)
bolella	tell (v.)
bolelle	tell (v.) (subjunctive)
bolelletse	told (v.)
bolemi	agriculture
boleng 	quality 
boleng ba bophelo	quality of life
boleng bo khutliseditsweng	return value
bolepi ba dinaledi	astrology
bolepi ba lehodimo	weather forecast
bolepo	cobweb
bolepo	web (computer)
boletse	said (have ...)
bolo	football
bolo	soccer
bolo, dibolo	ball
boloi	magic
boloi	sorcery
boloi	witchcraft
boloka	conserve (v.)
boloka	keep (v.)
boloka	maintain (v.)
boloka	preserve (v.)
boloka	protect (v.)
boloka	save (v.)
boloka	secure (v.)
boloka	spare (v.)
boloka	store (v.)
Boloka diphetoho	save changes
boloka faele	save file
boloka faele jeka	save file as
boloka leqephe	save page
boloka leqephe jeka	save page as
boloka pele o sebedisa	save before execute
boloka tokomane	saving document
bolokehileng	safe
bolokehileng	secure
bolokolohi	freedom
bolompoto	vase (<Afr: blompot)
bolotsa	circumcise (v.)
boloubolasi, diboloubolasi	bloublasie
boloukomo	eucalyptus (<Afr: bloekom)
bolouso, dibolouso	blouse
bolwetse	disease
bolwetse	sickness
bomadimabe	misfortune
bomang ?	who ? (plural)
bona	demonstrative pronoun this
bona	it (absolute pronoun) 
bona	possessive pronoun
bona	possessive pronoun
bona	see (v.)
bona	their
bona	them (absolute pronoun)
bona	they (absolute pronoun)
bonahala	appear (v.)
bonahala	clear (be ...)
bonahala	observable
bonahala	seeable
bonahala	visible
bonahala eka	look as though
bonahatsa 	visualise 
bonaletsang	transparent
bonana	observe one another (v.)
bonana	see each other (v.)
bone	fourth
bone	have seen (v.)
bonesa	light (v.)
bonete, dibonete	bonnet (<Eng)
bong	gender
bongata	majority
bongata	plural
bongata	variety
bongwana	childhood
Bongwe (lebitso)	One (male name)
bonna	manhood
bonna	manliness
bonna	masculine
bonngwe	unity
bonnotshi	solitude
bono	demonstrative pronoun that
Bonolo (lebitso)	Ease (female name)
bonolo	agreeable
bonolo	ease
bonolo	effortless
bonolo	gentle
bonolo	soft
bonolo	softness
bonolo	tender
bonono	quality
Bonono le Botjhaba	Arts and Culture
Bonono le Setso	Arts and Culture
bontsha	demonstrate (v.)
bontsha	exhibit (v.)
bontsha	point out (v.)
bontsha	prove (v.)
bontsha	show (v.)
bontsha boleng	display quality
bontsha bopaki	show evidence (v.)
bontsha dintho tse kenyeleditsweng	show embedded objects
bontshitse	pointed
bontshitse	have shown (v.)
bontshwa	be shown (v.)
bonwa	be observed (v.)
bonya	court (v.)
bonya	flirt (v.)
bonyane	least
bonyane	minimum
bonyenyane	bit
boo	demonstrative pronoun that
boo	demonstrative pronoun there
bookgolane	grasshopper
boona	itself
bopa	cast (v.)
bopa	create (v.)
bopa	make (v.)
bopa	mould (v.)
bopa	shape (v.)
bopa foromo	create form
bopa mola	alignment
bopaki	evidence
bopaki	proof
bopaki	testimony
bopaki ba leshano	perjury
bopaki bo ngotsweng	affidavit
bophahamo	height
bophara	width
bophelo	life
bophelo bo botle	pure life
bophelo bo botle	health
bophelo bo hlaha	wildlife
bophelong ba	life (in the ... of)
bophirima	western
bophirimela	west
bopile	created (have ...) (v.)
bopile	moulded (v.)
bopilwe	cast (was ...) (v.)
bopilwe	moulded (has been ...) (v.)
bopjwa	cast (be ...) (v.)
bopjwa	created (be ...) (v.)
bopjwa	moulded (being ...) (v.)
boporofeta	prediction
bora	drill (v.) (<Afr: boor)
borabele	rebellion
borakefese, diborakefese	breakfast (<Eng)
boraro	third
borase	brass (<Eng>
borashe, diborashe	brush (<Eng)
borashe ba meno	toothbrush
borashe ba ntlwana	toilet brush
borashe ba terata	wire brush (<Eng/Afr: draad)
boratjhe ba pente	paint brush (<Eng)
borele, diborele	spectacles
boreledi	smooth
borena	authority
borena	kingship
borifikheisi, diborifikheisi	briefcase (<Eng)
borikgwana ba ho sesa	swimming pants
borikgwe	pants (<Afr: broek)
borikgwe	trousers (<Afr: broek)
borikgwe ba ka hare	underpants
borikgwe bo bokgutshwanyane	short pants
boriki, mariki	brake (n.)
boro, diboro	drill (n.) (<Afr: boor)
borobedi	eighth
borobong	ninth
borokgo, marokgo	bridge (<Afr: brug)
borokgo bo kenang lewatle	pier
boroko	sleep (n.)
Borone	Boron (B) [Element]
boroso, diboroso	sausage (<Afr: wors)
borosolo, diborosolo	brush
borotho, marotho	bread
boroto, diboroto	board (<Afr: bord)
boroto ya bohobe, diboroto ya bohobe	breadboard
boroto ya dinotlolo	keyboard
boroto ya ho aenela	ironing board
boroto ya tsebiso ya ho fofa	flight information board
borui	richness
boruti	ministry
borwa	south
borwa	southern
borwetsana	puberty (female)
bosadi	vagina (vulgar)
bosadi	womanliness
bosadi [3	femininity
bosafeleng	eternity
bosea	infancy
boseka	anklet
bosele	different
bosele	strange
bosisapelo	misery
bosiu	night
bosiyo	absence
boso	weather
bososela	smile (v.)
bosula	tasteless
bosupa	seventh
botabane	homosexual (adj.)
botahwa	drunkenness
botala ba lehodimo	blue (green of the heaven)
botebo	source
botebo	depth
botebo ba HTML	HTML source
boteng	attendance
botenya	bold
botha	crouch
botha	lie down
bothata, mathata	problem
bothata	difficulty
bothata	error
botho	humaneness
botho	humanity
botho bo felletseng	refinement
Botho le Mahlale a Phedisano le Dipuo 	Human and Social Sciences and Languages 
bothoto	foolishness
bothoto	ignorance
bothoto	stupidity
boti, diboti	bra
botjha	youth
botjha	youthfulness
botjhaba	nationalism
botjhabela	east
botjhabela	eastern
Botjhabela Bohare 	Middle East
Botjheletsane	Clarens
botlase	bottom
botle	beauty
Botle (lebitso)	Beauty (female name)
botlokotsebe	impertinence
botlokotsebe	mischief
botlolo, dibotlolo	bottle (<Eng/Afr: bottel)
boto e ka hloohong ya bethe	headboard
boto ya dinoto	keyboard
botokgolo	motherboard
botona	penis
botona le botshehadi	genitals
botoro, dibotoro	butter (<Afr: botter)
botsa	ask (v.)
botsa	interrogate (v.)
botsa	inquire (v.)
botsa	question (v.)
botsebi	technique
botsebi	expertise
botseka	white dot on the forehead
botshabelo	refuge
botshehadi	vagina
botshelela	sixth
botshepehi	honesty
botshepehi	trustworthiness
botsho le bosweu	black and white
botsitso	balance
botsotsi	gangsterism
botsotsi	lawlessness
botswa	asked (v.)
botswa	laziness
botswa	lazy
Botswa ha bo jelwe (maele)	Laziness does not pay (proverb)
botswalle	friendship
Botswana	Botswana
botumo	fame
boutu, diboutu	bolt (<Afr: bout)
bovenkele	work of a shopkeeper
bowona	itself
boya	fur
boya	hair
boya	wool
boya ba podi	mohair
boya ba tshwele	cotton wool
boyena	himself
Bromini	Bromine (Br) [Element]
broushara, dibroushara	brochure
bua	speak (v.)
bua	talk (v.)
bua ka pelo	absent minded
bua leshano	lie (v.)
Buang (lebitso)	Speak / Chat (female name)
buisa	address (v.)
buisa	speak (cause to ...) (v.)
buisa	talk (cause to ...) (v.)
buisana	converse (v.)
buisana	discuss 
buisana	negotiate
buisana	speak with each other (v.)
buisana	talk to each other (v.)
buka, dibuka	book (<Eng/Afr: boek)
buka ya ho boloka mantswe	thesaurus
buka ya kgakollo	textbook
buka ya tlhakiso	exercise book
bukana, dibukana	pamphlet
bukantswe, dibukantswe	dictionary
bukatsatsi , dibukatsatsi	diary 
tshwaro ya dibuka	bookkeeping (<Eng)
bula	open (v.)
bula faele	open file
bula faele ya HTML	open HTML file
bulehile	open
buretsa	squash (v.)
Burundi	Burundi
busa	dominate (v.)
busa	govern (v.)
busa	reign (v.)
busa	rule (v.)
buseletsa	refund (v.)
butle !	wait !
butle	slow
butle	slowly
butle	gradually
butse	opened (v.)
busitse	reigned (v.)
butswe	open (is ...) (v.)
